Classement,Titre,Artiste,Genre,Region
1,Anti-Hero,Taylor Swift,Pop,monde
2,Unholy,Sam Smith & Kim Petras,Pop,monde
3,Separate Ways (Worlds Apart) [Feat. Lzzy Hale],Daughtry,Rock,monde
4,Lift Me Up (From Black Panther: Wakanda Forever - Music From And Inspired By),Rihanna,Pop,monde
5,Heart Like A Truck,Lainey Wilson,Country,monde
6,Made You Look,Meghan Trainor,Pop,monde
7,Son Of A Sinner,Jelly Roll,Rock,monde
8,Temperature,Sean Paul,Pop,monde
9,Thought You Should Know,Morgan Wallen,Country,monde
10,Wait In The Truck,Hardy & Lainey Wilson,Country,monde
11,I Ain'T Worried,Onerepublic,Pop,monde
12,Thank God,Kane Brown & Katelyn Brown,Country,monde
13,I'M Good (Blue),David Guetta & Bebe Rexha,Dance,monde
14,Unstoppable,Sia,Pop,monde
15,Bloody Mary,Lady Gaga,Pop,monde
16,Hurts To Love You,Nick Carter,Pop,monde
17,Something In The Orange (Z&E'S Version),Zach Bryan,Country,monde
18,Rock And A Hard Place,Bailey Zimmerman,Country,monde
19,Calm Down,Rema & Selena Gomez,Pop,monde
20,As It Was,Harry Styles,Pop,monde
21,Hold My Hand,Lady Gaga,Pop,monde
22,You Proof,Morgan Wallen,Country,monde
23,Players,Coi Leray,Hip-Hop/Rap,monde
24,One Thing At A Time,Morgan Wallen,Country,monde
25,Creepin',"Metro Boomin, The Weeknd & 21 Savage",Hip-Hop/Rap,monde
26,Ghost,Tom Macdonald,Pop,monde
27,Mine,Bazzi,Pop,monde
28,Cooler Than Me (Single Mix),Mike Posner,Pop,monde
29,I Ain'T A Bitch,Alaura Lynne,Country,monde
30,Fall In Love,Bailey Zimmerman,Country,monde
31,Golden Hour,Jvke,Pop,monde
32,"Going, Going, Gone",Luke Combs,Country,monde
33,Gratitude,Brandon Lake,Christian,monde
34,Wasted On You,Morgan Wallen,Country,monde
35,Hold Me Closer,Elton John & Britney Spears,Pop,monde
36,Cuff It,Beyoncé,Pop,monde
37,I'M Good (Blue),David Guetta & Bebe Rexha,Dance,monde
38,What My World Spins Around,Jordan Davis,Country,monde
39,Kill Bill,Sza,R&B/Soul,monde
40,The Kind Of Love We Make,Luke Combs,Country,monde
41,Under The Influence,Chris Brown,R&B/Soul,monde
42,Daydream,Lily Meola,Soft Rock,monde
43,Need A Favor,Jelly Roll,Country,monde
44,About Damn Time,Lizzo,Pop,monde
45,Bebe Dame,Fuerza Regida & Grupo Frontera,Música Mexicana,monde
46,Wreckage,Nate Smith,Country,monde
47,Trench,Fetish,Dance,monde
48,Tishomingo,Zach Bryan,Country,monde
49,Goodness Of God (Live),Cece Winans,Christian,monde
50,No Horse To Ride,Luke Grimes,Country,monde
51,Tennessee Whiskey,Chris Stapleton,Country,monde
52,Giddy Up!,Shania Twain,Country,monde
53,Watermelon Moonshine,Lainey Wilson,Country,monde
54,Papa (Version A),Miles Guo,Pop,monde
55,Shivers,Ed Sheeran,Pop,monde
