Classement,Titre,Artiste,Image,Avis,Site,Region
1,derrière le brouillard,grand corps malade & louane,"https://images-eu.ssl-images-amazon.com/images/i/817yvun5nil._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
2,jerusalema ,master kg,"https://images-eu.ssl-images-amazon.com/images/i/81us1d0fmwl._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
3,"1,2,3",amel bent & hatik,"https://images-eu.ssl-images-amazon.com/images/i/81idmtlubml._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
4,iko iko ,justin wellington & small jam,"https://images-eu.ssl-images-amazon.com/images/i/81qbdonlshs._ac_ul600_sr600,400_.jpg",4.6,amazon_fr,france
5,bad habits,ed sheeran,"https://images-eu.ssl-images-amazon.com/images/i/a1amvuucgdl._ac_ul600_sr600,400_.jpg",4.5,amazon_fr,france
6,j'y vais,patrick fiori & florent pagny,"https://images-eu.ssl-images-amazon.com/images/i/81njwurujll._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
7,nos plus belles années,grand corps malade & kimberose,"https://images-eu.ssl-images-amazon.com/images/i/81zlh4o2ews._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
8,save your tears ,the weeknd,"https://images-eu.ssl-images-amazon.com/images/i/81xizxda-8l._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
9,beau-papa,vianney,"https://images-eu.ssl-images-amazon.com/images/i/61y0vivitdl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
10,cover me in sunshine,p!nk + willow sage hart,"https://images-eu.ssl-images-amazon.com/images/i/71xu2f9eqll._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
11,girl like me,black  eyed peas & shakira,"https://images-eu.ssl-images-amazon.com/images/i/713t5yqtvll._ac_ul600_sr600,400_.jpg",4.5,amazon_fr,france
12,fever,dua lipa & angèle,"https://images-eu.ssl-images-amazon.com/images/i/918zdtkb8hl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
13,never going home,kungs,"https://images-eu.ssl-images-amazon.com/images/i/81q1qyycm-s._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
14,3sex,indochine & christine and the queens,"https://images-eu.ssl-images-amazon.com/images/i/81eyrfy7mol._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
15,minefields,faouzia & john legend,"https://images-eu.ssl-images-amazon.com/images/i/81tnerwyb9l._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
16,respire encore,clara luciani,"https://images-eu.ssl-images-amazon.com/images/i/61uct-1p41s._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
17,cold heart ,elton john & dua lipa,"https://images-eu.ssl-images-amazon.com/images/i/71yjgszeftl._ac_ul600_sr600,400_.jpg",4.6,amazon_fr,france
18,easy on me,adele,"https://images-eu.ssl-images-amazon.com/images/i/71tyun+y8il._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
19,voilà,barbara pravi,"https://images-eu.ssl-images-amazon.com/images/i/813qw7y-bsl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
20,courage to change,sia,"https://images-eu.ssl-images-amazon.com/images/i/613243kvlrl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
21,carrousel ,amir,"https://images-eu.ssl-images-amazon.com/images/i/81jrxn9vgzl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
22,eté 90 ,therapie ta&i,"https://images-eu.ssl-images-amazon.com/images/i/71p8pwqqegl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
23,de l'or,vitaa & slimane,"https://images-eu.ssl-images-amazon.com/images/i/71czc7m6njl._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
24,follow you,imagine dragons,"https://images-eu.ssl-images-amazon.com/images/i/81ihimercql._ac_ul600_sr600,400_.jpg",5.0,amazon_fr,france
25,le reste,clara luciani,"https://images-eu.ssl-images-amazon.com/images/i/81l4sghteil._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
26,chanson pour un enterrement,grégoire,"https://images-eu.ssl-images-amazon.com/images/i/61eguq-jttl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
27,love not war ,jason derulo & nuka,"https://images-eu.ssl-images-amazon.com/images/i/81ru2stlpil._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
28,blinding lights,the weeknd,"https://images-eu.ssl-images-amazon.com/images/i/81xizxda-8l._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
29,dance monkey,tones and i,"https://images-eu.ssl-images-amazon.com/images/i/81eulnieqzl._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
30,shallow,lady gaga & bradley cooper,"https://images-eu.ssl-images-amazon.com/images/i/813540bvryl._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
31,shivers,ed sheeran,"https://images-eu.ssl-images-amazon.com/images/i/a1nizejckul._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
32,take my breath ,the weeknd,"https://images-eu.ssl-images-amazon.com/images/i/810pf+ck6al._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
33,le reste,clara luciani,"https://images-eu.ssl-images-amazon.com/images/i/61uct-1p41s._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
34,stay ,the kid laroi & justin bieber,"https://images-eu.ssl-images-amazon.com/images/i/81jrudzbyis._ac_ul300_sr300,200_.jpg",4.6,amazon_fr,france
35,wrecked,imagine dragons,"https://images-eu.ssl-images-amazon.com/images/i/91pbzdpdets._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
36,love again ,dua lipa,"https://images-eu.ssl-images-amazon.com/images/i/91n2107xigl._ac_ul300_sr300,200_.jpg",4.8,amazon_fr,france
37,pour de vrai,vianney,"https://images-eu.ssl-images-amazon.com/images/i/71otx1ylz2l._ac_ul300_sr300,200_.jpg",4.5,amazon_fr,france
38,beau-papa,vianney,"https://images-eu.ssl-images-amazon.com/images/i/71otx1ylz2l._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
39,a un paso de la luna ,reik & rocco hunt & ana mena,"https://images-eu.ssl-images-amazon.com/images/i/81dsox0w4ml._ac_ul300_sr300,200_.jpg",4.4,amazon_fr,france
40,maintenant ,les enfoirés,"https://images-eu.ssl-images-amazon.com/images/i/71apxacianl._ac_ul300_sr300,200_.jpg",4.4,amazon_fr,france
41,don't shut me down,abba,"https://images-eu.ssl-images-amazon.com/images/i/51yv4ywl25l._ac_ul300_sr300,200_.jpg",4.7,amazon_fr,france
42,petrouchka ,soso maness & plk,"https://images-eu.ssl-images-amazon.com/images/i/7171oo+vmrs._ac_ul300_sr300,200_.jpg",3.7,amazon_fr,france
43,belle,"maître gims, dadju & slimane","https://images-eu.ssl-images-amazon.com/images/i/71rppqyb-hl._ac_ul300_sr300,200_.jpg",4.5,amazon_fr,france
44,save your tears ,the weeknd & ariana grande,"https://images-eu.ssl-images-amazon.com/images/i/71lg7cclkps._ac_ul300_sr300,200_.jpg",4.9,amazon_fr,france
45,believer,imagine dragons,"https://images-eu.ssl-images-amazon.com/images/i/71u0sn3o+ql._ac_ul300_sr300,200_.jpg",4.6,amazon_fr,france
51,aimer à mort,louane,"https://images-eu.ssl-images-amazon.com/images/i/717jm9dxpml._ac_ul600_sr600,400_.jpg",4.6,amazon_fr,france
52,wasted love ,ofenbach,"https://images-eu.ssl-images-amazon.com/images/i/a1za-pep0vl._ac_ul600_sr600,400_.jpg",5.0,amazon_fr,france
53,l'instinct,florent pagny,"https://images-eu.ssl-images-amazon.com/images/i/81ddnl0tcys._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
54,don't wait up,shakira,"https://images-eu.ssl-images-amazon.com/images/i/81hkybexids._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
55,pepas ,farruko,"https://images-eu.ssl-images-amazon.com/images/i/81+rccisscs._ac_ul600_sr600,400_.jpg",4.8,amazon_fr,france
56,afterglow,ed sheeran,"https://images-eu.ssl-images-amazon.com/images/i/b1hf-mnuaos._ac_ul600_sr600,400_.jpg",5.0,amazon_fr,france
57,y'a du soleil,christophe maé,"https://images-eu.ssl-images-amazon.com/images/i/91tzcupqs3s._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
58,1+1  ,sia,"https://images-eu.ssl-images-amazon.com/images/i/61svmrnutqs._ac_ul600_sr600,400_.jpg",4.7,amazon_fr,france
59,nos célébrations,indochine,"https://images-eu.ssl-images-amazon.com/images/i/81h-1rszu5l._ac_ul600_sr600,400_.jpg",4.9,amazon_fr,france
60,we are the people ,martin garri& & bono & the edge,"https://images-eu.ssl-images-amazon.com/images/i/71mumaowygs._ac_ul600_sr600,400_.jpg",4.3,amazon_fr,france
