Classement,Titre,Artiste,Image,Avis,Site,Region,Label
1,Derrière le brouillard,Grand Corps Malade & Louane,"https://images-eu.ssl-images-amazon.com/images/I/817yvUN5NiL._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
2,Jerusalema (feat. Nomcebo Zikode),Master Kg,"https://images-eu.ssl-images-amazon.com/images/I/81us1D0fMWL._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
3,"1,2,3",Amel Bent & Hatik,"https://images-eu.ssl-images-amazon.com/images/I/81IdMTlubmL._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
4,Iko Iko (My Bestie),Justin Wellington Feat. Small Jam,"https://images-eu.ssl-images-amazon.com/images/I/81QbDoNLSHS._AC_UL600_SR600,400_.jpg","4,6",Amazon_fr,France,
5,Bad Habits,Ed Sheeran,"https://images-eu.ssl-images-amazon.com/images/I/A1AmvUucgdL._AC_UL600_SR600,400_.jpg","4,5",Amazon_fr,France,
6,J'y vais,Patrick Fiori Et Florent Pagny,"https://images-eu.ssl-images-amazon.com/images/I/81njWUrUJLL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
7,Nos plus belles années,Grand Corps Malade & Kimberose,"https://images-eu.ssl-images-amazon.com/images/I/81ZLH4O2eWS._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
8,Save Your Tears [Explicit],The Weeknd,"https://images-eu.ssl-images-amazon.com/images/I/81XiZxda-8L._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
9,beau-papa,Vianney,"https://images-eu.ssl-images-amazon.com/images/I/61y0VivITdL._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
10,Cover Me In Sunshine,P!Nk + Willow Sage Hart,"https://images-eu.ssl-images-amazon.com/images/I/71Xu2f9EqLL._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
11,GIRL LIKE ME,Black  Eyed Peas & Shakira,"https://images-eu.ssl-images-amazon.com/images/I/713t5yqtVlL._AC_UL600_SR600,400_.jpg","4,5",Amazon_fr,France,
12,Fever,Dua Lipa X Angèle,"https://images-eu.ssl-images-amazon.com/images/I/918zDtkB8hL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
13,Never Going Home,Kungs,"https://images-eu.ssl-images-amazon.com/images/I/81q1qYyCM-S._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
14,3SEX,Indochine & Christine And The Queens,"https://images-eu.ssl-images-amazon.com/images/I/81EyRfY7MoL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
15,Minefields,Faouzia & John Legend,"https://images-eu.ssl-images-amazon.com/images/I/81tnErwyb9L._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
16,Respire encore,Clara Luciani,"https://images-eu.ssl-images-amazon.com/images/I/61ucT-1p41S._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
17,Cold Heart (PNAU Remix),Elton John & Dua Lipa,"https://images-eu.ssl-images-amazon.com/images/I/71YJgszeftL._AC_UL600_SR600,400_.jpg","4,6",Amazon_fr,France,
18,Easy On Me,Adele,"https://images-eu.ssl-images-amazon.com/images/I/71tYun+Y8IL._AC_UL600_SR600,400_.jpg","4,7",Amazon_fr,France,
19,Voilà,Barbara Pravi,"https://images-eu.ssl-images-amazon.com/images/I/813Qw7y-BSL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
20,Courage to Change,Sia,"https://images-eu.ssl-images-amazon.com/images/I/613243KvLrL._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
21,Carrousel (feat. Indila),Amir,"https://images-eu.ssl-images-amazon.com/images/I/81jrxN9vgZL._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
22,Eté 90 [Explicit],Therapie Taxi,"https://images-eu.ssl-images-amazon.com/images/I/71P8pwqqEgL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
23,De l'or,Vitaa & Slimane,"https://images-eu.ssl-images-amazon.com/images/I/71cZc7M6NJL._AC_UL600_SR600,400_.jpg","4,9",Amazon_fr,France,
24,Follow You,Imagine Dragons,"https://images-eu.ssl-images-amazon.com/images/I/81iHImercQL._AC_UL600_SR600,400_.jpg","5,0",Amazon_fr,France,
25,Le reste,Clara Luciani,"https://images-eu.ssl-images-amazon.com/images/I/81L4sGHteIL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
26,Chanson pour un enterrement,Grégoire,"https://images-eu.ssl-images-amazon.com/images/I/61Eguq-jTTL._AC_UL600_SR600,400_.jpg","4,8",Amazon_fr,France,
